Order,Family,Species,ZooMS_taxon,COL1a1_508_-_519,COL1a2_978_-_990,COL1a2_604_-_618,COL1a1_238-318,COL1a1_295-309,COL1a1_688_-_704,COL1a2_484_-_498,COL1a2_502_-_519,COL1a1_220_-_237,COL1a2_889_-_906,COL1a2_889_-_906,COL1a2_175_-_192,COL1a2_292_-_309,COL1a2_793_-_816,COL1a2_625_-_648,COL1a2_625_-_653,COL1a2_658_-_687,COL1a1_934_-_963,COL1a2_454_-_483,COL1a1_586_-_618,COL1a2_757_-_789,COL1a2_10_-_42,COL1a2_10_-_42,COL1a2_520_-_555,COL1a2_520_-_555
Accipitriformes,Accipitridae,Accipiter cooperii,Accipiter,,1220.6,1221.6,,,,,1552.8,,1578.8,1594.8,1603.8,1579.7,,2108,2466.2,2511.3,,2804.3,2913,,3097.4,3113.4,3152.4,3168.4
Accipitriformes,Accipitridae,Buteo jamaicensis,Buteo,,1220.6,1221.6,,,,,1552.8,,1578.8,1594.8,1603.8,1579.7,,2108,2466.2,2511.3,,2804.3,2913,,3097.4,3113.4,3152.4,3168.4
Accipitriformes,Cathartidae,Cathartes aura,Cathartes,,1220.6,1221.6,,,,,,,1578.8,1594.8,1589.8,1609.7,,,,2497.2,,2804.3,2913,,3097.4,3113.4,,
Anseriformes,Anatidae,Anas platyrhynchos,Anas,,1192.6,,,,,,1578.8,,1616.8,1632.8,1603.8,1609.7,,2108,2466.2,2511.3,,2804.3,2969.5,,3097.4,3113.4,3152.4,
Anseriformes,Anatidae,Oxyura jamaicensis,Oxyura,,1192.6,1221.6,,,,,1578.8,,,1660.8,1589.8,1609.7,,2108,2466.2,2511.3,,2804.3,2927.5,,3097.4,3113.4,3152.4,3168.4
Charadiiformes,Charadriidae,Charadrius semipalmatus,Charadrius,,1220.6,1221.6,,,,,1578.8,,1550.8,1566.8,1589.8,1609.7,,2108,2466.2,2511.3,,2777.3,2955.5,,,3106.4,3156.4,3172.4
Charadiiformes,Laridae,Larus canus,Larus,1162.5,1221.6,1237.6,1306.6,1393.6,1459.7,1463.7,1552.8,1572.8,,,,,2149.1,,,2531.2,2705.4,2777.3,2879.4,2927.5,3113.4,,,
Charadiiformes,Laridae,Leucophaeus atricilla,Leucophaeus,,1220.6,1221.6,,,,,1552.8,,1550.8,1566.8,1603.8,1609.7,,2108,2466.2,2531.2,,2777.3,2927.5,,3097.4,3113.4,3206.5,3222.5
Charadiiformes,Scolopacidae,,Scolopacid,,1220.6,1221.6,,,,,1608.8,,1550.8,1566.8,1589.8,1609.7,,2108,2466.2,2559.2,,2777.3,2985.5,,3071.4,3087.4,3166.4,3182.4
Columbiformes,Columbidae,Zenaida macroura,Zenaida,,1192.6,,,,,,1578.8,,1592.8,1608.8,1596.8,1579.7,,2108,2466.2,2497.2,,2804.3,2881.5,,3097.4,3113.4,3150.4,
Galliformes,Odontophoridae,Colinus viginianus,Colinus,,1220.6,1221.6,,,,,1594.8,,1550.8,1566.8,1603.8,1609.7,,2108,2466.2,2539.3,,2777.3,2927.5,,3097.4,3113.4,3182.4,3198.5
Galliformes,Phasianidae,Gallus gallus,Gallus,,1220.6,1221.6,,,,,1594.8,,1604.8,1620.8,1603.8,1609.7,,2108,,2539.3,,2777.3,2927.5,,3097.4,3113.4,3192.5,3208.5
Galliformes,Phasianidae,Meleagris gallopavo,Meleagris,,1220.6,1221.6,,,,,1622.9,,1578.8,1594.8,1603.8,1609.7,,2108,2466.2,2539.3,,2777.3,2927.5,,3097.4,3113.4,3192.5,3208.5
Galliformes,Phasianidae,Phasianus colchicus,Phasianus,,,,,,,,,,1578.8,,,,,,,,,,,,,,,
Gruiformes,Rallidae,Fulica americana,Fulica,,1220.6,1221.6,,,,,1578.8,,1578.8,1594.8,1589.8,1609.7,,2108,2466.2,2497.2,,2804.3,2985.5,,3097.4,3113.4,3152.4,3168.4
Gruiformes,Rallidae,Gallinula galeata,Gallinula,,1220.6,1221.6,,,,,1578.8,,1578.8,1594.8,1589.8,1609.7,,2108,2466.2,2497.2,,2804.3,2985.5,,3097.4,3113.4,3152.4,3168.4
Passeriformes,Corvidae,Corvus corax,Corvus,,1220.6,1221.6,,,,,1552.8,,,1580.8,1603.8,1608.8,,2135,2493.2,2525.3,,3166.5,2927.5,,3111.4,3127.4,3166.5,3182.4
Passeriformes,Icteridae,Quiscalus mexicanus,Quiscalus,,1220.6,1221.6,,,,,1578.8,,,,1603.8,1608.8,,,,2511.3,,2777.3,2927.5,,3111.4,3127.4,3166.5,
Pelecaniformes,Ardeidae,Ardea alba,Ardea,,1220.6,1221.6,,,,,1578.8,,1550.8,1566.8,1589.8,1596.8,,2108,2466.2,2511.3,,2804.3,2939,,3097.4,3113.4,3152.4,3168.4
Pelecaniformes,Ardeidae,Egretta thula,Egretta,,1220.6,1221.6,,,,,1578.8,,1550.8,1566.8,1589.8,1596.8,,2108,2466.2,2511.3,,2804.3,2939,,3097.4,3113.4,3152.4,3168.4
Pelecaniformes,Pelecanidae,Pelecanus erythrorhynchos,Pelecanus,,1220.6,1221.6,,,,,1552.8,,1578.8,1594.8,1603.8,1596.8,,2108,2466.2,2497.2,,2804.3,2927.5,,3097.4,3113.4,3152.4,3168.4
Podicipediformes,Podicipedidae,Podilymbus podiceps,Podilymbus,,1220.6,1221.6,,,,,1578.8,,1550.8,1566.8,1589.8,1596.8,,2108,2466.2,2497.2,,2804.3,2927.5,,3106.4,3122.4,3152.4,3168.4