,Order,Family,Species,ZooMS_taxon,COL1a1_508_-_519,COL1a3_568_-_579,COL1a3_839_-_847,COL1a2_978_-_990,COL1a2_244_-_258,COL1a3_746_-_762,COL1a1_688_-_704,COL1a1_688_-_704.1,COL1a2_889_-_906,COL1a1_889_-_906,COL1a2_502_-_519,COL1a2_502_-_519.1,COL1a2_688_-_704,COL1a2_688_-_704.1,COL1a3_889-907,COL1a2_907_-_924,COL1a2_907_-_924.1,COL1a2_793_-_806,COL1a2_793_-_806.1,COL1a1_817_-_837,COL1a1_817_-_837.1,COL1a1_817_-_837.2,COL1a1_817_-_837.3,COL1a1_881_-_900,COL1a1_881_-_900.1,COL1a2_817-836,COL1a2_817-836.1,COL1a2_658_-_687,COL1a2_658_-_687.1,COL1a2_625_-_648,COL1a2_625_-_648.1,COL1a2_625_-_648.2,COL1a2_625_-_648.3,COL1a3_532_-_555,COL1a2_733_-_756,COL1a2_733_-_756.1,COL1a1_934-963,COL1a1_934-963.1,COL1a1_934-963.2,COL1a2_454_-_483,COL1a2_586_-_618,COL1a1_586_-_618,COL1a1_586_-_618.1,COL1a2_658_-_687.2,COL1a2_658_-_687.3,COL1a2_757_-_789,COL1a2_757_-_789.1,COL1a2_757_-_789.2,COL1a2_757_-_789.3,COL1a2_10_-_42,COL1a2_10_-_42.1,COL1a2_991_-_1028,COL1a2_991_-_1028.1
0,Anguilliformes,Anguillidae,Anguilla anguilla,Anguilla,,,908.0,,,1457.0,1443,,1457.0,,1580.0,,1536,,,,,,,,,,,,,,,2480,,,,,,,,,,,,,,,,,,,,,,,,,
1,Anguilliformes,Congridae,Conger conger,Conger,,,870.0,,,1445.0,1514,,1467.0,,1580.0,,1536,,,,,,,,,,,,,,,2457,,,,,,,,,,,,,,,,,,,,,,,,,
2,Clupeiformes,Clupeidae,Clupea harengus,Clupea,,,930.0,,,1415.0,1471,,1554.0,,1594.0,,1614,,,,,,,,,,,,,,,2470,,,,,,,,,,,,,,,,,,,,,,,,,
3,Clupeiformes,Clupeidae,Sardina pilchardus,Sardina,,,930.0,,,1429.0,1471,,1554.0,,1566.0,,1614,,,,,,,,,,,,,,,2508,,,,,,,,,,,,,,,,,,,,,,,,,
4,Cypriniformes,Cyprinidae,Carassius auratus,Carassius,994.0,,,,1294.0,,1443,,,,1461.0,,1545,,,,,1200.0,,,,,,1826.0,1842.0,,,,,2170,,,,,,,2674.0,2690.0,,,,,,,,,,,,,,,
5,Cypriniformes,Cyprinidae,Carassius carassius,Carassius,994.0,,910.0,,1294.0,1429.0,1443,,1476.0,,1534.0,,1545,,,,,1262.0,,,,,,1816.0,1832.0,,,2566,,2138,,,,,,,2674.0,2690.0,,,,,,,,,,,,,,,
6,Cypriniformes,Cyprinidae,Leuciscus leuciscus,Leuciscus,,,910.0,,,1429.0,1443,,1476.0,,1564.0,,1545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Cypriniformes,Cyprinidae,Scardinius erythropthalmus,Scardinius,,,910.0,,,1429.0,1443,,1476.0,,1552.0,,1537,,,,,,,,,,,,,,,2622,,,,,,,,,,,,,,,,,,,,,,,,,
8,Cypriniformes,Cyprinidae,Squalius cephalus,Squalius,,,894.0,,,1429.0,1443,,,,1566.0,,1534,,,,,,,,,,,,,,,2566,,,,,,,,,,,,,,,,,,,,,,,,,
9,Esociformes,Esocidae,Esox lucius,Esox,1010.0,,886.0,,1339.0,1459.0,1459 /1492,,1536.0,,1568.0,,1545,,,,,1260.0,,,,,,1784.0,1800.0,,,2465,,2213,,,,,,,2663.0,2679.0,,,,,,,,,,,,,,,
10,Gadiformes,Gadidae,Gadiculus argenteus,Gadiculus,,,900.0,,,1453.0,1469,,1536.0,,1552.0,,1567,,,,,,,,,,,,,,,2386,,,,,,,,,,,,,,,,,,,,,,,,,
11,Gadiformes,Gadidae,Gadus morhua,Gadus,996.0,1083.0,900.0,,1293.0,1461.0,1469,,1558.0,,1585.0,,1560,,,,,1186.0,,,,,,1766.0,1782.0,,,2470,,2083,,,,,,,2670.0,2686.0,,,,,,,,,,,,,,,
12,Gadiformes,Gadidae,Melanogrammus aeglefinus,Melanogrammus,,,900.0,,,1492.0,1469,,1558.0,,1585.0,,1560,,,,,,,,,,,,,,,2454,,,,,,,,,,,,,,,,,,,,,,,,,
13,Gadiformes,Gadidae,Merlangius merlangus,Merlangius,,,900.0,,,1437.0,1469,,1558.0,,1585.0,,1484,,,,,,,,,,,,,,,2454,,,,,,,,,,,,,,,,,,,,,,,,,
14,Gadiformes,Gadidae,Micromesistius poutassou,Micromesistius,,,932.0,,,1483.0,1469,,1556.0,,1578.0,,1542,,,,,,,,,,,,,,,2346,,,,,,,,,,,,,,,,,,,,,,,,,
15,Gadiformes,Gadidae,Pollachius pollachius,Pollachius,,,900.0,,,1455.0,1478,,1558.0,,1574.0,,1522,,,,,,,,,,,,,,,2470,,,,,,,,,,,,,,,,,,,,,,,,,
16,Gadiformes,Gadidae,Pollachius virens,Pollachius,,,900.0,,,1455.0,1478,,1558.0,,1574.0,,1522,,,,,,,,,,,,,,,2470,,,,,,,,,,,,,,,,,,,,,,,,,
17,Gadiformes,Gadidae,Raniceps raninus,Raniceps,,,900.0,,,1445.0,1459,,1562.0,,1615.0,,1522,,,,,,,,,,,,,,,2440,,,,,,,,,,,,,,,,,,,,,,,,,
18,Gadiformes,Gadidae,Trisopterus esmarkii,Trisopterus,,,900.0,,,1482.0,1469,,1558.0,,1578.0,,1581,,,,,,,,,,,,,,,2458,,,,,,,,,,,,,,,,,,,,,,,,,
19,Gadiformes,Gadidae,Trisopterus luscus,Trisopterus,,,900.0,,,1506.0,1469,,1558.0,,1578.0,,1581,,,,,,,,,,,,,,,2500,,,,,,,,,,,,,,,,,,,,,,,,,
20,Gadiformes,Gadidae,Trisopterus minutus,Trisopterus,,,900.0,,,1482.0,1469,,1558.0,,1578.0,,1581,,,,,,,,,,,,,,,2500,,,,,,,,,,,,,,,,,,,,,,,,,
21,Gadiformes,Lotidae,Brosme brosme,Brosme,,,900.0,,,,1469,,1558.0,,1527.0,,1563,,,,,,,,,,,,,,,2482,,,,,,,,,,,,,,,,,,,,,,,,,
22,Gadiformes,Lotidae,Enchelyopus cimbrius,Enchelyopus,,,926.0,,,1502.0,1469,,1508.0,,1584.0,,1547,,,,,,,,,,,,,,,2436,,,,,,,,,,,,,,,,,,,,,,,,,
23,Gadiformes,Lotidae,Gaidropsarus vulgaris,Gaidropsarus,,,926.0,,,1483.0,1469,,1558.0,,1584.0,,1567,,,,,,,,,,,,,,,2428,,,,,,,,,,,,,,,,,,,,,,,,,
24,Gadiformes,Lotidae,Lota lota,Lota,,,900.0,,,1479.0,1469,,1558.0,,1584.0,,1595,,,,,,,,,,,,,,,2470,,,,,,,,,,,,,,,,,,,,,,,,,
25,Gadiformes,Lotidae,Molva dypterygia,Molva,,,900.0,,,,1469,,1600.0,,1584.0,,1553,,,,,,,,,,,,,,,2402,,,,,,,,,,,,,,,,,,,,,,,,,
26,Gadiformes,Lotidae,Molva molva,Molva,,,900.0,,,1528.0,1469,,1547.0,,1584.0,,1567,,,,,,,,,,,,,,,2416,,,,,,,,,,,,,,,,,,,,,,,,,
27,Gadiformes,Macrouridae,Coelorinchus coelorhincus,Coelorinchus,,,900.0,,,1509.0,1469,,1564.0,,1584.0,,1575,,,,,,,,,,,,,,,2418,,,,,,,,,,,,,,,,,,,,,,,,,
28,Gadiformes,Merlucciidae,Merluccius merluccius,Merluccius,,,900.0,,,1455.0,1443,,1614.0,,1527.0,,1572,,,,,,,,,,,,,,,2466,,,,,,,,,,,,,,,,,,,,,,,,,
29,Gadiformes,Phycidae,Phycis blennoides,Phycis,,,900.0,,,1496.0,1443,,1524.0,,1584.0,,1590,,,,,,,,,,,,,,,2460,,,,,,,,,,,,,,,,,,,,,,,,,
30,Istiophoriformes,Istiophoridae,Istiophorus platypterus,Istiophorus,,,,,,1461.0,1469,,,,,,,,,1596.0,,,,,,,,,,,,2440,,,,,,,,,,,,,,2899.0,,,,,,,,,,,
31,Istiophoriformes,Istiophoridae,Kajikia albida,Kajikia,,,,,,1461.0,1469,,,,,,,,,1600.0,,,,,,,,,,,,2454,,,,,,,,,,,,,,2899.0,,,,,,,,,,,
32,Istiophoriformes,Istiophoridae,Kajikia audax,Kajikia,,,,,,1461.0,1469,,,,,,,,,1600.0,,,,,,,,,,,,2454,,,,,,,,,,,,,,2899.0,,,,,,,,,,,
33,Istiophoriformes,Istiophoridae,Makaira nigricans,Makaira,,,,,,1471.0,1469,,,,,,,,,1596.0,,,,,,,,,,,,2440,,,,,,,,,,,,,,2899.0,,,,,,,,,,,
34,Istiophoriformes,Xiphidae,Xiphias gladius,Xiphias,,1084.0,,,,1471.0,1469,,,,,,,,,1596.0,,,,,,,,,,,,2462,,,,,,,,,,,,,,2889.0,,,,,,,,,,,
35,Lophiiformes,Lophiidae,Lophius piscatorius,Lophius,,,950.0,,,1455.0,1543,,1598.0,,1554.0,,1618,,,,,,,,,,,,,,,2432,,,,,,,,,,,,,,,,,,,,,,,,,
36,Mugiliformes,Mugilidae,Liza ramada,Liza,,,936.0,,,1445.0,1469,,1566.0,,1582.0,,1534,,,,,,,,,,,,,,,2462,,,,,,,,,,,,,,,,,,,,,,,,,
37,Mugiliformes,Mugilidae,Mugil cephalus,Mugil,,,952.0,,,1445.0,1469,,1558.0,,1584.0,,1534,,,,,,,,,,,,,,,2472,,,,,,,,,,,,,,,,,,,,,,,,,
38,Osmeriformes,Osmeridae,Osmerus eperlanus,Osmerus,,,890.0,,,1393.0,1432,,1558.0,,1520.0,,1485,,,,,,,,,,,,,,,2483,,,,,,,,,,,,,,,,,,,,,,,,,
39,Perciformes,Acanthuridae,Acanthurus sp.,Acanthurus,1022.0,,,1167.0,1376.0,1445.0,1469,,,,,,1517,,,1554.0,,,,,,,,1816.0,1832.0,,,,,2125,,,,,,,,,,,,2824.0,,,,,,,,,,,
40,Perciformes,Bramidae,Brama brama,Brama,,,894.0,,,1445.0,1469,,1558.0,,1550.0,,1559,,,,,,,,,,,,,,,2506,,,,,,,,,,,,,,,,,,,,,,,,,
41,Perciformes,Carangidae,Caranx crysos,Caranx,1026.0,,,,1319.0,,1469,1485.0,,,1550.0,,1533,,,1554.0,,1182.0,,,,,,1800.0,1816.0,,,,2468.0,2122,,,,,,,2664.0,,,,,2881.0,,,,,,,,,,,
42,Perciformes,Carangidae,Caranx hippos,Caranx,1026.0,,,,1319.0,,1469,1485.0,,,1550.0,,1533,,,1554.0,,1200.0,,,,,,1800.0,1816.0,,,,2452.0,2122,,,,,,,2664.0,,,,,2881.0,,,,,,,,,,,
43,Perciformes,Carangidae,Caranx ruber,Caranx,,,,,1319.0,,1469,1485.0,,,,,1533,,,1554.0,,1200.0,,,,,,1800.0,1816.0,,,,2468.0,2122,,,,,,,2664.0,,,,,,,,,,,,,,,,
44,Perciformes,Carangidae,Selar crumenophthalmus,Selar,1026.0,,,,1350.0,,1469,1485.0,,1532.0,1566.0,,1533,,,1554.0,,1200.0,,,,,,1790.0,1806.0,,,,2468.0,2163,,,,,2150.0,2166.0,2664.0,,,,,2842.0,,,,,,,,,,,
45,Perciformes,Carangidae,Seriola rivoliana,Seriola,1010.0,,,1153.0,1350.0,,1469,1485.0,,1548.0,1524.0,,1558,,,1584.0,,1172.0,,,,,,1816.0,1832.0,,,,2468.0,2137,,,,,,,2631.0,,,,,2854.0,,2937.0,,,,,,,,,
46,Perciformes,Carangidae,Trachurus trachurus,Trachurus,,,908.0,,,1445.0,1469,,1524.0,,1584.0,,1467,,,,,,,,,,,,,,,2428,,,,,,,,,,,,,,,,,,,,,,,,,
47,Perciformes,Haemulidae,Anisotremus surinamensis,Anisotremus,,,,1107.0,1350.0,1455.0,1455,1471.0,,1506.0,1552.0,1568.0,1559,,,1580.0,,1152.0,1168.0,,,,,1816.0,1832.0,,,,,2127,2143.0,,,,2153.0,2170.0,2649.0,2665.0,,2738,,2855.0,,2955.0,2872.0,,,,,3142.0,,,
48,Perciformes,Haemulidae,Anisotremus virginicus,Anisotremus,996.0,,,,1350.0,1455.0,1455,1471.0,,1506.0,1552.0,1568.0,1533,,,1580.0,,1178.0,1194.0,,,,,1816.0,1832.0,,,,,2111,2127.0,,,,2153.0,2170.0,2697.0,2713.0,,2780,,2855.0,,2955.0,2872.0,,,,,3142.0,,,
49,Perciformes,Haemulidae,Haemulon bonariense,Haemulon,982.0,,,1133.0,1350.0,1455.0,1455,1471.0,,1506.0,1558.0,1574.0,1559,,,1580.0,1596.0,1152.0,1168.0,,,,,1816.0,1832.0,,,,2601.0,2121,2137.0,,,,2153.0,2170.0,2682.0,2698.0,,2738,,2855.0,,2940.0,2956.0,,,,,3130.0,,,
50,Perciformes,Haemulidae,Haemulon carbonarium,Haemulon,996.0,,,1133.0,1350.0,1455.0,1455,1471.0,,1506.0,1558.0,1574.0,1559,,,1580.0,1596.0,1152.0,1168.0,,,,,1816.0,1832.0,,,,,2121,2137.0,,,,2153.0,2170.0,2682.0,2698.0,,2738,,2855.0,,2940.0,2956.0,,,,,3130.0,,,
51,Perciformes,Haemulidae,Haemulon flavolineatum,Haemulon,982.0,,,1133.0,1350.0,,1455,1471.0,,1506.0,1558.0,1574.0,1559,,,1580.0,1596.0,1152.0,1168.0,,,,,1816.0,1832.0,,,,,2121,2137.0,,,,2153.0,2170.0,2682.0,2698.0,,2738,,2855.0,,2940.0,2956.0,,,,,3142.0,,,
52,Perciformes,Haemulidae,Haemulon macrostomum,Haemulon,996.0,,,1133.0,1350.0,1455.0,1455,1471.0,,1506.0,1558.0,1574.0,1559,,,1580.0,1596.0,1152.0,1168.0,,,,,1816.0,1832.0,,,,2601.0,2121,2137.0,,,,2153.0,2170.0,2682.0,2698.0,,2738,,2855.0,,2940.0,2956.0,,,,,3136.0,,,
53,Perciformes,Haemulidae,Haemulon melanurum,Haemulon,982.0,,,1133.0,1350.0,,1455,1471.0,,1506.0,1558.0,1574.0,1559,,,1578.0,1594.0,1152.0,1168.0,,,,,1816.0,1832.0,,,,2620.0,2121,2137.0,,,,2153.0,2170.0,,,,2754,,2855.0,,2957.0,,,,,,,,,
54,Perciformes,Haemulidae,Haemulon plumierii,Haemulon,982.0,,,1133.0,1350.0,1455.0,1455,1471.0,,1506.0,1558.0,1574.0,1559,,,1580.0,1596.0,1152.0,1168.0,,,,,1816.0,1832.0,,,,2585.0,2121,2137.0,,,,2153.0,2170.0,2682.0,2698.0,,2754â€¢,,2855.0,,2940.0,2956.0,,,,,3130.0,,,
55,Perciformes,Haemulidae,Haemulon sciurus,Haemulon,982.0,,,1133.0,1350.0,1455.0,1455,1471.0,,1506.0,1558.0,1574.0,1559,,,1580.0,1596.0,1152.0,1168.0,,,,,1816.0,1832.0,,,,2585.0,2121,2137.0,,,,2153.0,2170.0,2682.0,2698.0,,2754,,2855.0,,2940.0,2956.0,,,,,3130.0,,,
56,Perciformes,Haemulidae,Haemulon steindachneri,Haemulon,982.0,,,1133.0,1350.0,1455.0,1455,1471.0,,1506.0,1558.0,1574.0,1559,,,1580.0,1596.0,1152.0,1168.0,,,,,1816.0,1832.0,,,,2570.0,2121,2137.0,,,,2153.0,2170.0,2682.0,2698.0,,2738,,2855.0,,2940.0,2956.0,,,,,3130.0,,,
57,Perciformes,Haemulidae,Pomadasys crocro,Pomadasys,996.0,,,1137.0,1350.0,1455.0,1455,1471.0,,1506.0,1558.0,1574.0,1559,,,1610.0,,1152.0,1168.0,,,,,1816.0,1832.0,,,,2444.0,2127,2143.0,,,,2153.0,2170.0,2672.0,2688.0,,2738,,2855.0,,2927.0,,,,,,3130.0,,,
58,Perciformes,Labridae,Halichoeres sp.,Halichoeres,1038.0,,,,1350.0,1445.0,1469,,,1548.0,,,1533,,,,,,,,,,,1816.0,1832.0,,,,2415.0,,,,,,2183.0,,2667.0,,,2297,,,,2911.0,,,,,,,,,
59,Perciformes,Labridae,Labrus bergylta,Labrus,,,910.0,,,1455.0,1439,,1500.0,,1548.0,,1572,,,,,,,,,,,,,,,2326,,,,,,,,,,,,,,,,,,,,,,,,,
60,Perciformes,Lutjanidae,Lutjanus buccanella,Lutjanus,994.0,,,1093.0,1350.0,,1469,1485.0,,,1556.0,1572.0,1533,,,1584.0,,,,,,,,1816.0,1832.0,,,,2498.0,2112,,,,,2209.0,,2649.0,2665.0,,2696,,,,,,,,,,3084.0,3100.0,,
61,Perciformes,Lutjanidae,Lutjanus campechanus,Lutjanus,994.0,,,1093.0,,,1469,1485.0,,,1554.0,1571.0,1533,,,1584.0,,,,,,,,1816.0,1832.0,,,,2482.0,2137,,,,,2209.0,,2649.0,2665.0,,2696,,2855.0,,,,,,,,,,,
62,Perciformes,Lutjanidae,Lutjanus cyanopterus,Lutjanus,994.0,,,1093.0,1376.0,,1469,1485.0,,,1552.0,1568.0,1533,,,1584.0,,,,,,,,1816.0,1832.0,,,,2482.0,2137,,,,,,,2649.0,2665.0,,2696,,2881.0,2897.0,,,,,,,3126.0,3142.0,,
63,Perciformes,Lutjanidae,Lutjanus griseus,Lutjanus,994.0,,,1093.0,1376.0,,1469,1485.0,,1532.0,1552.0,1568.0,1533,,,1584.0,,1228.0,,,,,,1816.0,1832.0,,,,2482.0,2137,,,,,2209.0,,2649.0,2665.0,,2696,,2855.0,,2935.0,2951.0,,,,,3126.0,3142.0,,
64,Perciformes,Lutjanidae,Lutjanus jocu,Lutjanus,994.0,,,1093.0,1376.0,,1469,1485.0,,1532.0,1552.0,1568.0,1533,,,1584.0,,1228.0,,,,,,1816.0,1832.0,,,,2482.0,2137,,,,,2225.0,,2649.0,2665.0,,2696,,2897.0,2913.0,2935.0,2951.0,,,,,3126.0,3142.0,,
65,Perciformes,Lutjanidae,Lutjanus mahogani,Lutjanus,994.0,,,1093.0,1350.0,,1469,1485.0,,1532.0,1552.0,1568.0,1533,,,1584.0,,1198.0,1214.0,,,,,1816.0,1832.0,,,,2482.0,2127,,,,,2209.0,,2649.0,2665.0,,2682,,2881.0,2897.0,2935.0,2951.0,,,,,3084.0,3100.0,,
66,Perciformes,Lutjanidae,Lutjanus vivanus,Lutjanus,994.0,,,1093.0,1350.0,,1469,1485.0,,,1556.0,1572.0,1533,,,1584.0,,1198.0,1214.0,,,,,1816.0,1832.0,,,,2498.0,2137,,,,,,,2649.0,2665.0,,2696,,2897.0,2913.0,,,,,,,,,,
67,Perciformes,Lutjanidae,Ocyurus chrysurus,Ocyurus,994.0,,,1093.0,1350.0,,1469,1485.0,,1532.0,1552.0,1568.0,1533,,,1584.0,,1228.0,,,,,,1816.0,1832.0,,,,2482.0,2127,,,,,,,2649.0,2665.0,,2696,,2840.0,,2935.0,2951.0,,,,,3084.0,3100.0,,
