Order,Family,Species,ZooMS_taxon,COL1a1_508_519,COL1a3_568_579,COL1a3_839_847,COL1a2_978_990,COL1a2_244_258,COL1a3_746_762,COL1a1_688_704,COL1a1_688_704.1,COL1a2_889_906,COL1a1_889_906,COL1a2_502_519,COL1a2_502_519.1,COL1a2_688_704,COL1a2_688_704.1,COL1a3_889-907,COL1a2_907_924,COL1a2_907_924.1,COL1a2_793_806,COL1a2_793_806.1,COL1a1_817_837,COL1a1_817_837.1,COL1a1_817_837.2,COL1a1_817_837.3,COL1a1_881_900,COL1a1_881_900.1,COL1a2_817-836,COL1a2_817-836.1,COL1a2_658_687,COL1a2_658_687.1,COL1a2_625_648,COL1a2_625_648.1,COL1a2_625_648.2,COL1a2_625_648.3,COL1a3_532_555,COL1a2_733_756,COL1a2_733_756.1,COL1a1_934-963,COL1a1_934-963.1,COL1a1_934-963.2,COL1a2_454_483,COL1a2_586_618,COL1a1_586_618,COL1a1_586_618.1,COL1a2_658_687.2,COL1a2_658_687.3,COL1a2_757_789,COL1a2_757_789.1,COL1a2_757_789.2,COL1a2_757_789.3,COL1a2_10_42,COL1a2_10_42.1,COL1a2_991_1028,COL1a2_991_1028.1
Perciformes,Moronidae,Dicentrarchus labrax,Dicentrarchus,,,894,,,1459,1469,,1510,,1584,,1533,,,,,,,,,,,,,,,2470,,,,,,,,,,,,,,,,,,,,,,,,,
Perciformes,Mullidae,Mullus surmuletus,Mullus,,,908,,,1455,1443,,1464,,1532,,1492,,,,,,,,,,,,,,,2440,,,,,,,,,,,,,,,,,,,,,,,,,
Perciformes,Percidae,Perca fluviatilis,Perca,,,894,,,1445,1443,,1450,,1529,,1478,,,,,,,,,,,,,,,2402,,,,,,,,,,,,,,,,,,,,,,,,,
Perciformes,Percidae,Sander lucioperca,Sander,996,,900,,1350,1450,1443,,1462,,1534,,1476,,,,,,,,,,,1790,1806,,,2428,,2100,,,,,,,,,,,,,,,,,,,,,,,
Perciformes,Scaridae,Scarus coelestinus,Scarus,,,,1183,1350,1445,1469,1485,,1532,1558,1574,1547,,,1554,,,,,,,,1816,1832,,,,2425,2137,,,,,2167,,2695,,,2297,,2887,,,,,,,,3058,,,
Perciformes,Scaridae,Scarus coeruleus,Scarus,,,,1183,1350,1445,1469,1485,,1532,1558,1574,1517,,,1554,,,,,,,,1816,1832,,,,2425,2137,,,,,2179,,2695,,,2297,,2887,,,,,,,,3058,,,
Perciformes,Scaridae,Scarus guacamaia,Scarus,,,,1183,1350,1445,1469,1485,,1532,1558,1574,1517,,,1554,,,,,,,,1816,1832,,,,2425,2137,,,,,2179,,2695,,,2297,,2887,,,,,,,,3058,,,
Perciformes,Scaridae,Scarus vetula,Scarus,,,,1183,1350,1445,1469,1485,,1532,1558,1574,1517,,,1554,,,,,,,,1816,1832,,,,2455,2137,,,,,2167,,2695,,,2297,,2887,,2940,,,,,,3058,,,
Perciformes,Scaridae,Sparisoma chrysopterum,Sparisoma,,,,,1350,1445,1469,1485,,1532,1542,,1517,,,1554,,,,,,,,1816,1832,,,,2441,2137,,,,,2153,,2623,2639,,,,,,,,,,,,3058,,,
Perciformes,Scaridae,Sparisoma rubripinne,Sparisoma,,,,1133,1350,1445,1469,1485,,1532,1569,1585,1517,,,1554,,1158,,,,,,1816,1832,,,,2455,2137,,,,,2153,,2623,2639,,,,,,2940,,,,,,3058,,,
Perciformes,Scaridae,Sparisoma viride,Sparisoma,,,,1133,1350,1445,1469,1485,,1532,1563,1578,1517,,,1554,,1158,,,,,,1816,1832,,,,2455,,,,,,2153,,2623,2639,,,,,,2940,,,,,,3058,,,
Perciformes,Serranidae,Epinephelus adscensionis,Epinephelus,1012,,,1137,1350,1471,1469,1485,,1506,1560,1576,1539,,,1584,,1158,,,,,,1816,1832,,,,2486,2125,,,,,2195,,2653,2669,,2698,,2851,2867,2927,,,,,,3086,,,
Perciformes,Serranidae,Epinephelus guttatus,Epinephelus,1012,,,1127,1350,1471,1469,1485,,1506,1560,1576,1572,,,1584,,1158,,,,,,1816,1832,,,,2488,2125,,,,,2195,,2653,2669,,2682,,2851,2867,2935,2951,,,,,3086,,,
Perciformes,Serranidae,Epinephelus itajara,Epinephelus,1010,,,1137,1380,,1455,,,1506,1560,1576,2486,,,1584,,1158,,,,,,1816,1832,,,,2486,2125,,,,,2188,2204,2653,2669,,2682,,2838,,,,,,,,,,,
Perciformes,Serranidae,Epinephelus morio,Epinephelus,1010,,,,1350,1471,1469,1485,,1506,1560,1576,1572,,,1584,,1158,,,,,,1816,1832,,,,2444,2125,,,,,2195,,2653,2669,,2682,,2851,2867,2927,,,,,,3086,,,
Perciformes,Serranidae,Mycteroperca phenax,Mycteroperca,1010,,,1137,1350,1471,1469,1485,,1506,1560,1576,1572,,,1584,,1183,,,,,,1816,1832,,,,2502,2125,,,,,2195,,2653,2669,,2682,,2851,2867,2935,2951,,,,,,,,
Perciformes,Serranidae,Serranus tigrinus,Serranus,1144,,,1137,1319,1455,1443,,,1506,1518,1534,1572,,,1584,,,,,,,,1816,1832,,,,2438,2099,,,,,2195,,2694,,,2766,,2856,,2921,,,,,,3084,3100,,
Perciformes,Sparidae,Boops boops,Boops,,,908,,,1445,1469,,1558,,1537,,1533,,,,,,,,,,,,,,,2500,,,,,,,,,,,,,,,,,,,,,,,,,
Perciformes,Sparidae,Dentex dentex,Dentex,,,908,,,1445,1469,,1558,,1554,,1533,,,,,,,,,,,,,,,2500,,,,,,,,,,,,,,,,,,,,,,,,,
Perciformes,Sparidae,Lithognathus mormyrus,Lithognathus,,,938,,,1445,1469,,1558,,1537,,1533,,,,,,,,,,,,,,,2500,,,,,,,,,,,,,,,,,,,,,,,,,
Perciformes,Sparidae,Oblada melanura,Oblada,,,908,,,1445,1469,,1558,,1563,,1533,,,,,,,,,,,,,,,2456,,,,,,,,,,,,,,,,,,,,,,,,,
Perciformes,Sparidae,Pagellus erythrinus,Pagellus,,,956,,,1445,1469,,1558,,1521,,1533,,,,,,,,,,,,,,,2498,,,,,,,,,,,,,,,,,,,,,,,,,
Perciformes,Sparidae,Sarpa salpa,Sarpa,,,924,,,1445,1469,,1558,,1537,,1533,,,,,,,,,,,,,,,2514,,,,,,,,,,,,,,,,,,,,,,,,,
Perciformes,Sparidae,Sparus aurata,Sparus,,,924,,,1445,1469,,1558,,1508,,1533,,,,,,,,,,,,,,,2498,,,,,,,,,,,,,,,,,,,,,,,,,
Perciformes,Sparidae,Spondyliosoma cantharus,Spondyliosoma,,,,,,1445,1469,,1558,,1537,,1533,,,,,,,,,,,,,,,2472,,,,,,,,,,,,,,,,,,,,,,,,,
Perciformes,Zoarcidae,Zoarces viviparus,Zoarces,,,884,,,1445,1443,,1554,,1538,,1566,,,,,,,,,,,,,,,2387,,,,,,,,,,,,,,,,,,,,,,,,,
Pleuronectiformes,Bothidae,Arnoglossus laterna,Arnoglossus,,,,,,,,,,,,,1545,,,,,,,1778,1794,1810,,,,,,,,2111,,,,,,,2679,2695,2711,,,,,,,,,,,,,,
Pleuronectiformes,Citharidae,Citharus linguatula,Citharus,,,,,,,,,,,,,1573,,,,,,,1770,1786,,,,,,,2426,,2121,2137,,,,,,,,,,,,,,,2931,2947,2963,,,,,
Pleuronectiformes,Pleuronectidae,Glyptocephalus cynoglossus,Glyptocephalus,,,,,,,,,,,,,1588,1604,,,,,,1795,1811,1827,,,,,,,,2153,2169,,,,,,2632,,,,,,,,,2879,2895,,,,,,
Pleuronectiformes,Pleuronectidae,Hippoglossoides platessoides,Hippoglossoides,,,,,,,,,,,,,1572,,,,,,,1778,1794,,,,,,,2515,,2173,,,,,,,2629,2645,,,,,,,,2893,,,,,,,
Pleuronectiformes,Pleuronectidae,Hippoglossus hippoglossus,Hippoglossus,,,930,,,1455,1495,,1612,,1588,,1600/ 1588,,,,,,,1779,1795,,,,,,,2450/2541,2557,2169,,,,,,,2645,,,,,,,,,2873,2889,2905,2921,,,,
Pleuronectiformes,Pleuronectidae,Limanda limanda,Limanda,,,930,,,1445,1485,,1612,,1584,,1630/ 1641,,,,,,,1778,1794,1810,1826,,,,,2436/ 2499,,2169,,,,,,,2613,2629,,,,,,,,2863,2879,,,,,,
Pleuronectiformes,Pleuronectidae,Microstomus kitt,Microstomus,,,884,,,1445,1453,,1602,,1598,,1602/ 1630,,,,,,,1791,1807,1823,,,,,,2495/ 2543,,2127,2143,,,,,,2641,2657,,,,,,,,2867,2883,,,,,,
Pleuronectiformes,Pleuronectidae,Platichthys flesus,Platichthys,,,930,,,1445,1469,,1612,,1615,,1572/ 1630,,,,,,,1762,1778,1794,,,,,,2499,,2169,,,,,,,2649,2665,2681,,,,,,,2903,2919,2935,2951,,,,
Pleuronectiformes,Pleuronectidae,Pleuronectes platessa,Pleuronectes,,,,,,1445,1455,,1612,,1615,,1630,,,,,,,1762,1778,1794,1810,,,,,2499,,2169,,,,,,,2649,2665,2681,,,,,,,2893,2909,,,,,,
Pleuronectiformes,Scophthalmidae,Lepidorhombus boscii,Lepidorhombus,,,,,,,,,,,,,1544,,1520,,,,,1774,1790,,,,,,,2528,2544,2157,,,,,,,2655,,,,,,,,,2901,2917,2933,2949,,,,
Pleuronectiformes,Scophthalmidae,Lepidorhombus whiffiagonis,Lepidorhombus,,,930,,,1455,1469,,1556,,1566,,1528/ 1560,,1520,,,,,1760,1776,,,,,,,2528,,2137,2153,,,,,,2655,2671,,,,,,,,2889,2905,2921,2937,,,,
Pleuronectiformes,Scophthalmidae,Scophthalmus maximus,Scophthalmus,1010,,896,,1335,1455,1485,,1526,,1566,,1520/ 1600,,1520,,,,,1758,1774,1790,,1774,1790,,,2512,,2121,2137,2153,2169,,,,2665,2681,2697,,,,,,,2885,2901,2917,2933,,,,
Pleuronectiformes,Scophthalmidae,Scophthalmus rhombus,Scophthalmus,1010,,896,,1335,1455,1485,,1526,,1566,,1520/ 1556,1572,1520,,,,,1758,1774,1790,,1774,1790,,,2512,,2121,2137,2153,,,,,2665,2681,2697,,,,,,,2859,2875,2891,,,,,
Pleuronectiformes,Scophthalmidae,Zeugopterus regius,Zeugopterus,,,,,,,,,,,,,1574,,1534,,,,,1758,1774,1790,,,,,,2528,,2137,2153,,,,,,,,,,,,,,,2911,2927,2943,2959,,,,
Pleuronectiformes,Soleidae,Buglossidium luteum,Buglossidium,,,,,,,,,,,,,1547,,,,,,,1774,1790,,,,,,,2462,,2121,2137,,,,,,2681,2697,,,,,,,,2955,2971,2987,3003,,,,
Pleuronectiformes,Soleidae,Pegusa impar,Pegusa,,,,,,,,,,,,,1517,,,,,,,1784,1800,1816,1832,,,,,2468,,2095,2111,2127,,,,,2723,2739,2755,,,,,,,2955,2971,2987,3003,,,3490,3506
Pleuronectiformes,Soleidae,Pegusa lascaris,Pegusa,,,,,,,,,,,,,1517,,,,,,,1784,1800,,,,,,,2468,,2095,2111,2127,,,,,2707,2723,2739,,,,,,,2955,2971,2987,3003,,,3522,
Pleuronectiformes,Soleidae,Solea solea,Solea,,,894,,,1431,1469,,1574,,1517,,1504/ 1517,,,,,,,1784,1800,1816,1832,,,,,2472/ 2484,,2095,2111,2127,,,,,2681,2697,,,,,,,,2888,2904,,,,,,
Salmoniformes,Salmonidae,Oncorhynchus gorbuscha,Oncorhynchus,,996,,,,,,,,,,,,,,,,,,,,,,,,1874,1890,,,2152,,,,2142,,,2669,,,,2881,,,,,2933,2949,,,,,,
Salmoniformes,Salmonidae,Oncorhynchus kisutch,Oncorhynchus,,996,,,,,,,,,,,,,,,,,,,,,,,,1874,1890,2456,,,,,,2202,,,2669,,,,2881,,,,,2933,2949,,,,,,
Salmoniformes,Salmonidae,Oncorhynchus nerka,Oncorhynchus,,996,,,,,,,,,,,,,,,,,,,,,,,,1890,,,,2122,,,,2202,,,2699,,,,2881,,,,,2933,2949,,,,,,
Salmoniformes,Salmonidae,Oncorhynchus keta,Oncorhynchus,,996,,,,,,,,,,,,,,,,,,,,,,,,1874,1890,,,2122,,,,2202,,,2669,,,,2922,,,,,2933,2949,,,,,,
Salmoniformes,Salmonidae,Oncorhynchus mykiss,Oncorhynchus,,996,,,,,,,,,,,,,,,,,,,,,,,,1874,,2456,,2148,,,,2202,,,2669,,,,2922,,,,,2933,2949,,,,,,
Salmoniformes,Salmonidae,Oncorhynchus tshawytscha,Oncorhynchus,,996,,,,,,,,,,,,,,,,,,,,,,,,1874,1890,2456,,,,,,2202,,,2669,,,,2881,,,,,2933,2949,,,,,,
Salmoniformes,Salmonidae,Salmo salar,Salmo,1010,1026,910,,1339,1397,1443,,1518,,1584,,1536,,,,,1220,,,,,,1774,1790,,,2456,,2137/2148,,,,2174,,,2612,2628,,,2922,,,,,2967,2983,,,3084,3100,,
Salmoniformes,Salmonidae,Salmo trutta fario,Salmo,1010,996,910,,1339,1422,1443,,1518,,1584,,1536,,,,,1220,,,,,,1774,1790,,,2456,,2137,,,,,,,2612,2628,,,,,,,,,,,,3074,3090,,
Salmoniformes,Salmonidae,Thymallus thymallus,Thymallus,,,924,,,1482,1473,,1590,,1584,,1546,,,,,,,,,,,,,,,2456,,,,,,,,,,,,,,,,,,,,,,,,,
Scombriformes,Scombridae,Acanthocybium solandri,Acanthocybium,,1052,,,,1455,1443,,,,,,1545,,,,,,,,,,,,,,,2540,,,,,,,,,,,,,,2895,,,,,,,,,,,
Scombriformes,Scombridae,Auxis sp.,Auxis,1044,,,1183,,1445,1443,,,1548,1534,,1571,,,1600,,,,,,,,1816,1832,,,,2475,,,,,,,,2665,,,,,2911,,,,,,,,,,,
Scombriformes,Scombridae,Euthynnus affinis,Euthynnus,,,,,,1445,1443,,,,,,1572,,,,,,,,,,,,,,,2482,,,,,,,,,,,,,,2885,,,,,,,,,,,
Scombriformes,Scombridae,Euthynnus alletteratus,Euthynnus,1044,,,1183,,1445,1443,,,1548,1534,,1571,,,1600,,,,,,,,1816,1832,,,,2475,,,,,,,,2665,,,,,2899,,,,,,,,,,,
Scombriformes,Scombridae,Gymnosarda unicolor,Gymnosarda,,1040,,,,1455,1443,,,,,,1572,,,,,,,,,,,,,,,2552,,,,,,,,,,,,,,2857,,,,,,,,,,,
Scombriformes,Scombridae,Katsuwonus pelamis,Katsuwonus,1044,1082,,1183,,1445,1443,,,1548,1534,,1557,,,1600,,,,,,,,1816,1832,,,2484,2485,,,,,,,,2665,,,,,2911,,2763,,,,,,,,,
Scombriformes,Scombridae,Scomber scombrus,Scomber,,,952,,,1455,1443,,1558,,1552,,1508,,,,,,,,,,,,,,,2504,,,,,,,,,,,,,,,,,,,,,,,,,
Scombriformes,Scombridae,Thunnus alalunga,Thunnus,1044,1038,,1167,,1445,1443,,,1532,1534,,1572,,,1584,1600,,,,,,,1816,1832,,,,2510,,,,,,,,,,,,,2867,,2763,,,,,,,,,
Scombriformes,Scombridae,Thunnus albacares,Thunnus,,1052,,,,1445,1443,,,,,,1572,,,1600,,,,,,,,,,,,,,,,,,,,,,,,,,2867,,,,,,,,,,,
Scombriformes,Scombridae,Thunnus obesus,Thunnus,,1052,,,,1445,1443,,,,,,1572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2867,,,,,,,,,,,
Scombriformes,Scombridae,Thunnus thynnus,Thunnus,,1052,,,,1445,1443,,,,,,1572,,,1600,,,,,,,,,,,,,,,,,,,,,,,,,,2897,,,,,,,,,,,
Scopaeniformes,Cottidae,Myoxocephalus scorpius,Myoxocephalus,,,876,,,1455,1439,,1522,,1562,,1538,,,,,,,,,,,,,,,2474,,,,,,,,,,,,,,,,,,,,,,,,,
Scopaeniformes,Sebastidae,Sebastes marinus,Sebastes,,,910,,,1455,1443,,1480,,1555,,1542,,,,,,,,,,,,,,,2444,,,,,,,,,,,,,,,,,,,,,,,,,
Scopaeniformes,Triglidae,Chelidonichthys cuculus,Chelidonichthys,,,894,,,1455,1443,,1480,,1538,,1591,,,,,,,,,,,,,,,2442,,,,,,,,,,,,,,,,,,,,,,,,,
Scopaeniformes,Triglidae,Chelidonichthys lacerna,Chelidonichthys,,,882,,,1455,1433,,1480,,1552,,1591,,,,,,,,,,,,,,,2462,,,,,,,,,,,,,,,,,,,,,,,,,
Scopaeniformes,Triglidae,Eutrigla gurnardus,Eutrigla,,,906,,,1455,1433,,1480,,1554,,1591,,,,,,,,,,,,,,,2436,,,,,,,,,,,,,,,,,,,,,,,,,
Siluriformes,Siluridae,Silurus glanis,Silurus,1052,,,,1278,,1427,,,,1534,,1573,,,,,1269,,,,,,1796,1812,,,,,2065,,,,,,,2690,2706,,,,,,,,,,,,,,,
Tetraodontiformes,Balistidae,Balistes capriscus,Balistes,1010,,,1179,1380,,1469,,,,,,1517,,,1554,,,,,,,,1816,1832,,,,,2092,,,,,,,,,,,,2841,,,,,,,,,,,
Tetraodontiformes,Diodontidae,Diodon sp.,Diodon,,,,,1392,1485,,,,,,,1559,,,1542,,,,,,,,1816,1832,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zeiformes,Zeidae,Zeus faber,Zeus,,,922,,,1487,1484,,1508,,1563,,1540,,,,,,,,,,,,,,,2387,,,,,,,,,,,,,,,,,,,,,,,,,